Devis_ID	Unité	Client	Type_Travail	Montant_HT	Coefficient	Numéro_OA	Count_OA	Statut	État	Description	Date_RFQ	Acheteur
PI25180	SABC_Yaounde	Boissons du Cameroun	Fourniture	597296	1.4	3523329	1	Terminé	Closed	CABLE ETHERNET INDUSTRIEL	2025-04-09	Jean Bossango
PI25181	SABC_Ndokoti	Boissons du Cameroun	Fourniture	4406500	1.4	3522349	1	Terminé	Closed	Offre suplementaire materiel electriqueSILOS Ndokoti	2025-04-10	Hassan FOUAPON KOUOTOU
PI25182	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	0	1	Lost	0	Terminé	Closed	fourniture et câblerie compresseur ZE2	2025-04-10	Clément Tientcheu
PI25183	SEMC	SEMC	Fourniture_Pose	1683250	1.52	3526093	1	Terminé	Closed	Meublerie (suite travaux Infirmerie)	2025-04-10	Cheugoua Rommel
PI25184	SABC_Bafoussam	Boissons du Cameroun	Fourniture	8298944	2	Lost	0	Terminé	Closed	REMPLACEMENT DES FLOTTEURS DEFECTUEUX SUR LES BACS DE LAVAGE	2025-04-11	Jean Bossango
PI25185	SOCAVER	Societe Camerounaise des Verrieries	Fourniture	4788000	1.4	Lost	0	Terminé	Closed	DA 3229166 ENTRETOISE	2025-04-11	Philemon SANDJONG TCHAZOU 
PI25186	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	343980	1	CM40006952	1	Terminé	Closed	Supply of Modular 3-phase control relay	2025-04-11	Benjamin N. Eteh
PI25187	SABC_Bafoussam	Boissons du Cameroun	Fourniture	3004995	1.4	Lost	0	Terminé	Closed	FSR ASCO JOUCOMATIC - ELECTRODISTRIBUTEUR	2025-04-14	
PI25188	SABC_Koumassi	Boissons du Cameroun	Fourniture	1989000	1.7	Lost	0	Terminé	Closed	Remplacement sonde Bac CIP HS	2025-04-14	Jean Bossango
PI25189	SABC_Ndokoti	Boissons du Cameroun	Fourniture	7439714	1.35	Lost	0	Terminé	Closed	PDR POUR UTILISATION SUR LES EQUIPEMENTS DE PRODUCTION	2025-04-15	Jean Bossango
PI25190	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	940000	1	Regul	1	Terminé	Closed	Remplacement Chemin de cabble sous-sol brassage	2025-04-11	Patrick Aimé HAMO FIKOUE
PI25191	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	0	1	Lost	0	Terminé	Closed	Passage des cable onduleur STEP	2025-04-10	Patrick Aimé HAMO FIKOUE
PI25192	SABC_Ndokoti	Boissons du Cameroun		532000	1	Lost	0	Terminé	Closed	Demande d'offre pour supplément matériel électrique Silos Ndokoti	2025-04-15	
PI25193	DIXSTONE	Dixstone Operations Cameroun	Fourniture	11056532	1.2	Lost	0	Terminé	Closed	 Fiche Mâle-Femelle ATEX Pour La Cabine GCL	2025-04-16	
PI25194	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	0	1	Lost	0	Annulé	Closed	SUPPLY AND INSTALLATION OF DO MODULE 6ES7322-1BH01-0AA-INSTRUMENTATION	2025-04-16	Martin-Pierre DOOH
PI25195	SIAC	Boissons du Cameroun	Reparation	0	1	Lost	0	Terminé	Closed	Maintenace alimentation DC-25V 5A	2025-04-17	Christel TCHATO
PI25196	SOCAPALM_Eseka	SOCAPALM	Fourniture_Pose	7119095	1.48	Lost	0	Terminé	Closed	travaux de mise à la terre de la salle serveur et du bâtiment administratif usine d'Eseka	2025-04-15	Anne Chantal Ngo Ngidjol
PI25197	SOCAPALM_Eseka	SOCAPALM	Fourniture_Pose	17556095	1.48	Lost	0	Terminé	Closed	travaux de mise à la terre du pont bascule et du bâtiment huilerie usine d'Eseka	2025-04-15	Anne Chantal Ngo Ngidjol
PI25196-A	SOCAPALM_Eseka	SOCAPALM	Fourniture_Pose	10837895	1.48	Lost	0	Terminé	Closed	travaux de mise à la terre de la salle serveur et du bâtiment administratif usine d'Eseka, PDA testable	2025-04-15	Anne Chantal Ngo Ngidjol
PI25197-A	SOCAPALM_Eseka	SOCAPALM	Fourniture_Pose	21274895	1.48	Lost	0	Terminé	Closed	travaux de mise à la terre du pont bascule et du bâtiment huilerie usine d'Eseka, PDA testable	2025-04-15	Anne Chantal Ngo Ngidjol
PI25198	SABC_Ndokoti	Boissons du Cameroun	Fourniture	6580575	1.35	3538170	1	Terminé	Closed	BESOIN POUR REVISION ANNUELLE CH8 MOELLER	2025-04-17	Jean Bossango
PI25199	SABC_Yaounde	Boissons du Cameroun	Fourniture	1341371	1.35	3529464	1	Terminé	Closed	Cabler et mettre en service le coffrêt de commande de la pompe mobile lavage TOD	2025-04-18	Jean Bossango
PI25200	SABC_Garoua	Boissons du Cameroun	Fourniture	5600360	1	3526523	1	Terminé	Closed	BESOIN DE CABLES POUR RESOLUTION ANOMALIES PALETISEUR CHAINE 06	2025-04-18	Jean Bossango
PI25201	SABC_Yaounde	Boissons du Cameroun	Fourniture_Pose	0	1	Lost	0	Annulé	Closed	L'electrification du nouveau conteneur du magasin de rechange des pieces de usine de yaounde	2025-04-21	
PI25202	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	1930200	1.2	3532976	1	Terminé	Closed	mise en conformité coffret éclairage SDM	2025-04-14	Clément Tientcheu
PI25203	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	756000	1.2	3545240	1	Terminé	Closed	Fourniture et câblage électrique du moteur transporteur entrée soutireuse fût	2025-04-17	Patrick Aimé HAMO FIKOUE
PI25204	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	1964600	1.21	Lost	0	Terminé	Closed	Mise en conformite coffret pompe recirculation	2025-04-14	Clément Tientcheu
PI25205	SIAC	Boissons du Cameroun	Fourniture_Pose	394500	1.2	Lost	0	Terminé	Closed	Remplacement cable commande pompe forage sans gaine TPC	2025-04-16	Christel TCHATO
PI25206	SIAC	Boissons du Cameroun	Fourniture_Pose	602000	1.2	Lost	0	Terminé	Closed	Remplacement cable commande pompe forage avec gaine TPC	2025-04-16	Christel TCHATO
PI25207	SABC_Yaounde	Boissons du Cameroun	Placement_RH	840000	1	3519041	1	Terminé	Closed	PRESTATION JANV A DEC 2025: RENFORT INSTRUMENTISTE JUNIOR ET ASSISTANT METROLOGUE	2025-04-22	
PI25208	SABC_Ndokoti	Boissons du Cameroun	Fourniture	3124680	1.3	Lost	0	Terminé	Closed	Pièce de rechange "Module Ethercat" pour remise en service visiontech 2	2025-04-23	Jean Bossango
PI25209	SABC_Yaounde	Boissons du Cameroun	Reparation	0	1	Lost	0	Annulé	Closed	Consultation pour remise en service des postes de soudures	2025-04-23	
PI25210	SABC_Yaounde	Boissons du Cameroun	Reparation	375000	2.5	3540027	1	Terminé	Closed	Consultaion pour réparation d'un distillateur	2025-04-23	
PI25211	SABC_Ndokoti	Boissons du Cameroun	Fourniture_Pose	7714250	1.26	Lost	0	Terminé	Closed	ECLAIRAGE MAGASIN PR	2025-04-26	
PI25212	SABC_Garoua	Boissons du Cameroun	Fourniture	2879595	1.95	3527193	1	Terminé	Closed	MATERIEL CIP ENTONNEMENT GAROUA	2025-04-28	Rosine Kati
PI25213	HBO_Clients	HBO	Metrologie	590000	1	Lost	0	Terminé	Closed	EQUIPEMENT DE METROLOGIE SPECIFIQUE CRITIQUES - SUR SITE	2025-04-28	
PI25214	SEMC	SEMC	Fourniture_Pose	1065750	1	3532819	1	Terminé	Closed	Travaux supp. Etagere Major+Plaque indentification+Projecteurs LED	2025-04-23	Cheugoua Rommel
PI25215	SOCAPALM_Bambou	SOCAPALM	Fourniture_Pose	499650	1	SCP0825POH00451	1	Terminé	Closed	Amélioration de la valeur de terre de la station météo usine de mbambou	2025-04-25	
PI25216	HBO_Clients	HBO	Metrologie	200000	1	Lost	0	Terminé	Closed	EQUIPEMENT DE METROLOGIE SPECIFIQUE CRITIQUES - EN LABO	2025-04-28	
PI25217	SIAC	Boissons du Cameroun	Fourniture_Pose	849700	1.4	Lost	0	Terminé	Closed	Conception d'une Gaine Technique Logement pour le batiment administratif	2025-04-27	Christel TCHATO
PI25218	HBO_Clients	HBO	Metrologie	0	1	Lost	0	Terminé	Closed	Certification du pont bascule par le ministere du commerce	2025-04-29	
PI25219	HBO_Clients	HBO	Metrologie	0	1	Lost	0	Terminé	Closed	Certification du debitmetre par le ministere du commerce	2025-04-29	
PI25220	SOCAPALM_Bambou	SOCAPALM	Fourniture_Pose	0	1	Lost	0	Terminé	Closed	contrôle de la valeur de terre	2025-04-25	
